time_EUR_USD,close_EUR_USD,open_EUR_USD,high_EUR_USD,low_EUR_USD,Volume_EUR_USD
2010-01-03T14:00:00.000000000Z,1.43172,1.4312,1.43172,1.4312,3
2010-01-03T18:00:00.000000000Z,1.43036,1.43172,1.43425,1.42926,1024
2010-01-03T22:00:00.000000000Z,1.4271399999999999,1.4303,1.4335799999999999,1.4257600000000001,5994
2010-01-04T02:00:00.000000000Z,1.43012,1.4271200000000002,1.43089,1.42708,2836
2010-01-04T06:00:00.000000000Z,1.4394799999999999,1.4301,1.43964,1.4269399999999999,9020
2010-01-04T10:00:00.000000000Z,1.44218,1.43946,1.44334,1.4375,9593
2010-01-04T14:00:00.000000000Z,1.4415200000000001,1.4422,1.4456,1.44038,10869
2010-01-04T18:00:00.000000000Z,1.44127,1.4415,1.44282,1.44041,3719
2010-01-04T22:00:00.000000000Z,1.44207,1.44123,1.44401,1.4406,3950
2010-01-05T02:00:00.000000000Z,1.44639,1.44204,1.44734,1.4406700000000001,4668
2010-01-05T06:00:00.000000000Z,1.4432,1.44642,1.44839,1.44048,9518
2010-01-05T10:00:00.000000000Z,1.44266,1.44316,1.44546,1.4399600000000001,8497
2010-01-05T14:00:00.000000000Z,1.4391200000000002,1.44262,1.4435,1.4384,13305
2010-01-05T18:00:00.000000000Z,1.4365,1.4391399999999999,1.4393200000000002,1.43468,5221
2010-01-05T22:00:00.000000000Z,1.43682,1.43665,1.4371,1.43346,3906
2010-01-06T02:00:00.000000000Z,1.4356,1.4368,1.43688,1.43422,2931
2010-01-06T06:00:00.000000000Z,1.43776,1.4356200000000001,1.4383,1.42832,12182
2010-01-06T10:00:00.000000000Z,1.43592,1.4378,1.43794,1.4336799999999998,8199
2010-01-06T14:00:00.000000000Z,1.44042,1.43594,1.44156,1.43436,10910
2010-01-06T18:00:00.000000000Z,1.44078,1.44044,1.44346,1.43846,7014
2010-01-06T22:00:00.000000000Z,1.4425700000000001,1.44074,1.44464,1.43927,4711
2010-01-07T02:00:00.000000000Z,1.43913,1.44254,1.44254,1.4381700000000002,3418
2010-01-07T06:00:00.000000000Z,1.4354,1.4391,1.4399,1.43518,9046
2010-01-07T10:00:00.000000000Z,1.43336,1.4353799999999999,1.4358600000000001,1.4299600000000001,10356
2010-01-07T14:00:00.000000000Z,1.43248,1.43334,1.4351399999999999,1.4305,9964
2010-01-07T18:00:00.000000000Z,1.43079,1.4325,1.43274,1.43066,4510
2010-01-07T22:00:00.000000000Z,1.43125,1.43089,1.4327299999999998,1.43025,3625
2010-01-08T02:00:00.000000000Z,1.42944,1.43127,1.43205,1.42875,2965
2010-01-08T06:00:00.000000000Z,1.4323,1.4294200000000001,1.43353,1.42935,7518
2010-01-08T10:00:00.000000000Z,1.44034,1.43228,1.44154,1.42644,12275
2010-01-08T14:00:00.000000000Z,1.4393200000000002,1.44038,1.44086,1.42998,15392
2010-01-08T18:00:00.000000000Z,1.44055,1.4393,1.4438799999999998,1.4391200000000002,5767
2010-01-08T22:00:00.000000000Z,1.44098,1.43998,1.44098,1.43998,3
2010-01-10T18:00:00.000000000Z,1.44268,1.44123,1.44416,1.4412,1104
2010-01-10T22:00:00.000000000Z,1.4480600000000001,1.44271,1.44956,1.44095,7137
2010-01-11T02:00:00.000000000Z,1.45184,1.4480899999999999,1.4533399999999999,1.4472399999999999,4976
2010-01-11T06:00:00.000000000Z,1.45222,1.4518799999999998,1.45354,1.4479,8852
2010-01-11T10:00:00.000000000Z,1.45318,1.45224,1.45462,1.45014,8594
2010-01-11T14:00:00.000000000Z,1.451,1.45316,1.4556799999999999,1.4496799999999999,12143
2010-01-11T18:00:00.000000000Z,1.4513200000000002,1.45096,1.45424,1.4507700000000001,4524
2010-01-11T22:00:00.000000000Z,1.44912,1.45129,1.45215,1.448,4277
2010-01-12T02:00:00.000000000Z,1.44954,1.44908,1.4498,1.4453799999999999,5362
2010-01-12T06:00:00.000000000Z,1.44908,1.4495200000000001,1.45214,1.44694,10040
2010-01-12T10:00:00.000000000Z,1.4467,1.44906,1.45092,1.44626,11365
2010-01-12T14:00:00.000000000Z,1.45074,1.44674,1.45462,1.44668,12778
2010-01-12T18:00:00.000000000Z,1.44858,1.45072,1.45084,1.44826,5348
2010-01-12T22:00:00.000000000Z,1.4477799999999998,1.44855,1.44953,1.44566,3890
2010-01-13T02:00:00.000000000Z,1.44866,1.44775,1.4492200000000002,1.44656,3199
2010-01-13T06:00:00.000000000Z,1.4500899999999999,1.44869,1.4515,1.44628,9373
2010-01-13T10:00:00.000000000Z,1.4572399999999999,1.4500600000000001,1.45792,1.44892,11082
2010-01-13T14:00:00.000000000Z,1.45046,1.4572200000000002,1.4572200000000002,1.44728,15940
2010-01-13T18:00:00.000000000Z,1.45105,1.45048,1.45166,1.44834,5768
2010-01-13T22:00:00.000000000Z,1.45366,1.45096,1.45394,1.4496200000000001,4179
2010-01-14T02:00:00.000000000Z,1.45518,1.45364,1.4555200000000001,1.4529,2758
2010-01-14T06:00:00.000000000Z,1.4506,1.45516,1.4555799999999999,1.45026,7435
2010-01-14T10:00:00.000000000Z,1.4508,1.45062,1.45212,1.4477799999999998,11390
2010-01-14T14:00:00.000000000Z,1.4493,1.45082,1.45146,1.44466,14374
2010-01-14T18:00:00.000000000Z,1.4499600000000001,1.4493200000000002,1.4520600000000001,1.44882,5370
2010-01-14T22:00:00.000000000Z,1.44392,1.44989,1.45118,1.4428,3765
2010-01-15T02:00:00.000000000Z,1.4434200000000001,1.4439,1.44464,1.44058,6748
2010-01-15T06:00:00.000000000Z,1.44141,1.4434,1.4437200000000001,1.43783,9432
2010-01-15T10:00:00.000000000Z,1.43754,1.4413799999999999,1.44146,1.4359600000000001,10597
2010-01-15T14:00:00.000000000Z,1.43818,1.4375200000000001,1.43982,1.43564,12168
